Year,Product,Origin,Destination / PADD,Mode of Transportation,Volume (m3),Volume (bbl),Value (CN$),Value (US$),Price (CN cents/L),Price (US cents/gallon)
1990,Butane,Alberta,PADD II,Railway,45750.6,287762.1239,5340328.1,4602105.354,11.672695,38.07777
1990,Butane,Alberta,PADD IV,Pipeline,185002,1163625.58,23521737,20130497.88,12.714314,41.189816
1990,Butane,Alberta,PADD IV,Railway,78891.4,496211.1277,9135017.3,7817640.687,11.57923,37.510925
1990,Butane,Alberta,PADD IV,Truck,95,597.531,10592.5,8853.01529,11.15,35.276003
1990,Butane,Alberta,PADD V,Railway,143032.9,899648.3344,15637956.82,13396548.65,10.933118,35.454284
1990,Butane,Alberta,PADD V,Truck,369,2320.9362,40478.6,34865.81072,10.96981,35.767219
1990,Butane,Alberta,Total,Pipeline,185002,1163625.58,23521737,20130497.88,12.714314,41.189816
1990,Butane,Alberta,Total,Railway,267674.9,1683621.586,30113302.22,25816294.69,11.249953,36.508839
1990,Butane,Alberta,Total,Truck,464,2918.4672,51071.1,43718.82601,11.006702,35.666644
1990,Butane,British Columbia,PADD II,Railway,16116.3,101368.3037,1140167.6,977137.6525,7.074623,22.951028
1990,Butane,British Columbia,PADD V,Railway,236680.7,1488674.267,30024919.54,25753750.11,12.685833,41.189774
1990,Butane,British Columbia,PADD V,Truck,11637.7,73198.80546,916964.54,785454.7732,7.879259,25.54852
1990,Butane,British Columbia,Total,Railway,252797,1590042.571,31165087.14,26730887.77,12.328107,40.027016
1990,Butane,British Columbia,Total,Truck,11637.7,73198.80546,916964.54,785454.7732,7.879259,25.54852
1990,Butane,Manitoba,PADD II,Railway,185178,1164732.584,24471279.1,20979029.49,13.215003,42.885232
1990,Butane,Manitoba,PADD IV,Railway,237,1490.6826,25094.7,21520.01159,10.588481,34.372087
1990,Butane,Manitoba,Total,Railway,185415,1166223.267,24496373.8,21000549.5,13.211646,42.874349
1990,Butane,Ontario,PADD I,Railway,317901.9,1999539.371,46709970.89,39944678.71,14.693202,47.563911
1990,Butane,Ontario,PADD I,Truck,2244.1,14114.94018,302704.86,261726.2817,13.48892,44.148594
1990,Butane,Ontario,PADD II,Pipeline,438192.8,2756145.073,54084862.74,46334189.48,12.342709,40.026543
1990,Butane,Ontario,PADD II,Railway,738159.5,4642875.623,103532125.8,88651435.85,14.025712,45.461874
1990,Butane,Ontario,PADD II,Truck,31375.5,197345.6199,4994621.8,4285627.653,15.918859,51.705358
1990,Butane,Ontario,PADD IV,Railway,5724,36002.8152,958775.7,825098.9119,16.750099,54.5655
1990,Butane,Ontario,Total,Pipeline,438192.8,2756145.073,54084862.74,46334189.48,12.342709,40.026543
1990,Butane,Ontario,Total,Railway,1061785.4,6678417.809,151200872.4,129421213.5,14.240247,46.140305
1990,Butane,Ontario,Total,Truck,33619.6,211460.5601,5297326.66,4547353.935,15.756661,51.200946
1990,Butane,Québec,PADD I,Railway,22707,142822.4886,2056445.4,1760174.664,9.056438,29.343221
1990,Butane,Québec,PADD I,Truck,466,2931.0468,23766,20264.07778,5.1,16.460865
1990,Butane,Québec,PADD II,Railway,4465,28083.957,378622.5,325580.1461,8.479787,27.602486
1990,Butane,Québec,Total,Railway,27172,170906.4456,2435067.9,2085754.81,8.96168,29.057177
1990,Butane,Québec,Total,Truck,466,2931.0468,23766,20264.07778,5.1,16.460865
1990,Butane,Saskatchewan,PADD II,Pipeline,19136.2,120362.8708,1441382,1233259.213,7.532226,24.39554
1990,Butane,Saskatchewan,PADD II,Railway,62986.9,396175.0036,7891812.1,6785380.774,12.529291,40.778922
1990,Butane,Saskatchewan,PADD II,Truck,3532,22215.5736,504189.9,433710.3456,14.274912,46.482645
1990,Butane,Saskatchewan,PADD IV,Railway,14660.8,92213.49984,1216504.4,1053413.052,8.297667,27.198989
1990,Butane,Saskatchewan,PADD V,Railway,368,2314.6464,43378.2,37135.31671,11.787554,38.198918
1990,Butane,Saskatchewan,Total,Pipeline,19136.2,120362.8708,1441382,1233259.213,7.532226,24.39554
1990,Butane,Saskatchewan,Total,Railway,78015.7,490703.1499,9151694.7,7875929.143,11.73058,38.214798
1990,Butane,Saskatchewan,Total,Truck,3532,22215.5736,504189.9,433710.3456,14.274912,46.482645
1990,Propane,Alberta,PADD I,Railway,120.8,759.80784,12309.52,10508.75013,10.19,32.930315
